Proyecto,Dataset,TipoDePermiso,TipoCuenta,Correo,Rol,EntidadAplicada
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","op-repots@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.admin","folder/271342856035"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tr-terraform-data@daf-dp-management-prod.iam.gserviceaccount.com","roles/bigquery.admin","folder/271342856035"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","group","dl_op_data_platform_team_prd@digitalfemsa.com","roles/bigquery.dataViewer","folder/271342856035"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","sa-alation-data@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataViewer","folder/271342856035"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","group","dl_op_data_platform_team_prd@digitalfemsa.com","roles/bigquery.jobUser","folder/271342856035"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","sa-alation-data@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.metadataViewer","folder/271342856035"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","user","spinarq.001@digitalfemsa.com","roles/resourcemanager.folderEditor","folder/271342856035"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","data-training-devops@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.admin","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","sa-martech-braze-bq-reader-daf@daf-dp-management-prod.iam.gserviceaccount.com","roles/bigquery.connectionUser","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-oxxopayp-b2b-dataflow-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-general-coa-dataflow-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-oxxo-coa-cloudrun-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-oxxo-coa-dataflow-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-general-cdp-dataflow-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-oxxo-coa-dataflow-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-bpaas-b2b-dataflow-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-bpaas-b2b-dataproc-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-general-dho-dataflow-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
"daf-dp-refined-prod","N/A (Heredado)","HEREDADO","serviceAccount","tf-df-general-dho-cloudrun-sa@daf-dp-compute-prod.iam.gserviceaccount.com","roles/bigquery.dataEditor","folder/73733423094"
